Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
Tonk Road,Hot Plate,"Plot 32/528, Sector 3, Pratap Nagar, Tonk Road, Jaipur",[],₹300,['North Indian'],3.4,21
Tonk Road,Juicy Corner,"405, Vsaundhara Colony, Gopalpura Bypass Lane, Near Bhandari Hospital, Tonk Road, Jaipur",['Beverage Shop'],₹150,"['Fast Food', 'Beverages']",3.4,20
Tonk Road,Brew Resto Cafe,"Hotel Vrisa, 12 Airport Plaza, Durgapura, Tonk Road, Jaipur",['Casual Dining'],"₹1,400","['Chinese', 'Kebab', 'North Indian', 'Italian']",NEW,14
Tonk Road,Tea House Cafe,"261/285, NRI Circle, Sector 26, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹200,"['North Indian', 'South Indian']",3.4,20
Tonk Road,Sethi Kitchen,"Gopalpura Mod, Near Allahabad Bank, Tonk Road, Jaipur",['Casual Dining'],₹800,"['North Indian', 'Chinese', 'Mughlai']",3.4,21
Tonk Road,Viraj Divine Kitchen,"227B Shri Gopal Nagar, Gopalpura, Near Tonk Road, Jaipur",[],₹400,"['North Indian', 'Chinese', 'Fast Food', 'Street Food']",3.4,No-Votes
Tonk Road,Ramchandra Dosa Vale,"Tonk Phatak, Barkat Nagar, Near Indian Public School, Tonk Road, Jaipur",['Quick Bites'],₹200,['South Indian'],3.2,29
Tonk Road,Milan Sweets,"A-26, Bajaj Nagar, Near Gandhi Nagar Railway Station, Tonk Road, Jaipur","['Sweet Shop', 'Quick Bites']",₹200,"['Mithai', 'Street Food']",3.4,27
Tonk Road,Culture-Days Hotel,"Plot 10, Days Hotel, Airport Plaza Durgapura, Tonk Road, Jaipur",['Casual Dining'],₹800,"['North Indian', 'Asian', 'Continental', 'Healthy Food', 'Salad']",2.8,10
Tonk Road,Sharma Fast Foods And Restaurant,"86/129A, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹250,"['North Indian', 'Chinese']",3.3,33
