Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
Bais Godam,HEAL- Healthy Eating And Living,"Shop 1, 1st Floor, Opposite Fingrowth Bank, 22 Godam Circle, Bais Godam, Jaipur",[],₹300,['Healthy Food'],3.4,28,26.9023528,75.7934952
Bais Godam,Little Kitchen,"A33, Govindpuri, Hawa Sadak, Bais Godam, Jaipur",[],₹200,['Fast Food'],3.4,36,26.8971351,75.7863962
Bais Godam,Yum Yum Hot Dog By Pop n Fry,"Ground Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Kiosk'],₹250,"['Hot dogs', 'Momos', 'Fast Food']",3.3,25,26.9026508,75.7937401
Bais Godam,Healthy Bites,"42, Bhojpura Colony, Sehkar Marg Road, Bais Godam, Jaipur",[],₹300,"['Fast Food', 'Beverages', 'Healthy Food', 'North Indian']",3.2,16,26.6219731,75.61353439999999
Bais Godam,Flavors,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Dessert Parlor'],₹250,"['Ice Cream', 'Beverages']",3.5,17,26.9026088,75.7937902
Bais Godam,Spiced Up,"B13, Industrial Area, Bais Godam, Jaipur",['Quick Bites'],₹350,['North Indian'],3.1,16,26.8955569,75.7877914
Bais Godam,Frottle,"17, Sharma Colony Extension, Bais Godam, Jaipur",['Beverage Shop'],₹200,['Beverages'],3.1,21,26.8940095,75.7858387
Bais Godam,Tea Stories,"Shop 2, Plot 2, Crystal Palm, Sardar Patel Marg, C-SCH, Bais Godam, Jaipur",[],₹250,"['Tea', 'Fast Food']",3.2,21,26.9033978,75.7927831
Bais Godam,Eat N Treat,"Opposite UCO Bank, Hawa Sadak, Bais Godam, Jaipur",['Quick Bites'],₹300,['North Indian'],2.9,26,26.902428,75.787627
Bais Godam,Cafe Habbito,"20, Golimar Garden, Sahakar Marg, Near Bais Godam, Jaipur",['Café'],₹400,"['Cafe', 'Chinese']",3.2,15,26.9006892,75.7927591
Bais Godam,Nibs Cakes And Bakes,"17, Sharma Colony Extension, 22 Godam, Bais Godam, Jaipur",['Bakery'],₹300,"['Bakery', 'Desserts']",3.4,12,26.9023528,75.7934952
Bais Godam,Bake Hut,"C-46, Sudharshanpura, 22 Godown, Near Royal Enfield Workshop, Bais Godam, Jaipur",['Bakery'],₹300,"['Bakery', 'Desserts', 'Fast Food']",2.9,22,26.9025394,75.7931217
Bais Godam,OhVeg By V-Impact,"B-91, Nandpuri Colony, Hawa Sarak, Bais Godam, Jaipur",[],₹250,"['Fast Food', 'North Indian']",2.7,12,26.8942566,75.780377
Bais Godam,The Hotel Mohammedi,"Shop 5, Bais Godam, Industrial Area, Bais Godam, Jaipur",['Quick Bites'],₹350,"['North Indian', 'Mughlai']",2.9,11,26.8882463,75.7858387
Bais Godam,Hotel Shyampuria Palace,"Hawa Sarak, Bais Godam, Jaipur","['Casual Dining', 'Bar']",₹500,['North Indian'],3.1,13,26.9009777,75.7838265
Bais Godam,Chicken Fit,"1/1, Bhagwati Nagar Second, Kartarpura, Bais Godam, Jaipur",['Quick Bites'],₹300,['Fast Food'],3.0,10,26.8855132,75.7872919
Bais Godam,Siya Ram Pavitra Bhojnalaya,"Near Railway Fatak, Opposite Laxmi Dharm Kantha, Bais Godam, Jaipur",['Dhaba'],₹300,['North Indian'],3.0,12,26.897519,75.78795
Bais Godam,Burger House,"Near Laxmi Dharam Kata, Bais Godam, Jaipur",['Quick Bites'],₹200,['Fast Food'],3.0,7,26.9043818,75.7963992
Bais Godam,Hare Krishna Hare Rama Restaurant,"B1 A, Sudarshanpura Vistar, Bais Godam, Jaipur",['Quick Bites'],₹450,"['North Indian', 'Fast Food']",3.2,8,26.8902725,75.79697039999999
Bais Godam,Cook & Curry Kitchen,"42, Bhojpura Colony, Shekhar Marg, Bais Godam, Jaipur",[],₹400,"['Fast Food', 'North Indian']",2.9,5,26.9048846,75.7955709
Bais Godam,Sahu Gajak And Juice Centre,"Shop 1, Near Ram Mandir, Bais Godam, Jaipur",['Beverage Shop'],₹150,['Beverages'],2.8,7,26.90249,75.7859435
Bais Godam,Chicago Pizza,"Counter 6, 3rd Floor, Metropoliton, Bhwni Singh Road, Bais Godam, Jaipur",['Food Court'],₹600,"['Pizza', 'Beverages']",-,5,41.8781136,-87.6297982
Bais Godam,Choco Mozart,"3/4, Singhal Bhawan, Khetri House, Chandpole Bazar, Bais Godam, Jaipur",['Confectionery'],₹250,['Desserts'],-,7,26.9312148,75.8100522
Bais Godam,Chef Ronny's Kitchen,"12-A, Sharma Colony, Nandpuri, Bais Godam, Jaipur",['Quick Bites'],₹400,"['North Indian', 'Mughlai']",-,5,26.8957742,75.7852126
Bais Godam,D 88 Restaurant,"10, Janakpuri, 1st Imli Phatak Bais Godam, Jaipur",['Quick Bites'],₹400,['North Indian'],-,5,26.888517,75.7920146
Bais Godam,Brown Sugar Quick,"Shop A-1, Mezzanine Floor, Near Ram Mandir, Hawa Sadak, Bais Godam, Jaipur","['Bakery', 'Quick Bites']",₹400,"['Bakery', 'Fast Food']",-,No-Votes,26.9027074,75.7897996
Bais Godam,Food Fitness & Fruit,"77, Bhojpura Colony, Shankar Marg 22, Bais Godam, Jaipur",['Quick Bites'],₹150,"['North Indian', 'Fast Food', 'Healthy Food']",-,6,26.6219731,75.61353439999999
Bais Godam,Ajooba Pan Bhandar,"Bais Godam Main Road, Geejgarh Vihar Colony, Bais Godam, Jaipur",['Paan Shop'],₹100,['Paan'],-,6,26.902602,75.7871179
Bais Godam,Chat Pata Restaurant,"10, Janakpuri, 1st Imilphatak, Bais Godam, Jaipur",['Quick Bites'],₹300,"['North Indian', 'South Indian', 'Chinese']",-,No-Votes,28.621899,77.08783849999999
Bais Godam,Chat Chaska House,"B1- Sudarshanpura Vistar, Imli Phatak, Bais Godam, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Fast Food']",-,No-Votes,26.8958956,75.79019819999999
Bais Godam,Crunchy Meal,"Plot S6, Ground Floor, Kartarpura Industrial Area, Bais Godam, Jaipur",['Quick Bites'],₹400,['North Indian'],4.1,No-Votes,26.7817609,75.8373034
Bais Godam,Lucky Da Dhaba,"D1, Kartarpura Industerial area, Bais Godam, Jaipur",['Quick Bites'],₹250,['North Indian'],3.8,No-Votes,26.8893901,75.7829323
Bais Godam,The Chill Grill,"8/8A, Nandpuri Hawa Sadak Bais Godam, Jaipur",[],₹400,"['North Indian', 'Chinese', 'Sandwich']",3.6,No-Votes,26.8939167,75.78448759999999
Bais Godam,Vinayak Bakers,"S-11, Geejgarh Vihar, Hawa Sadak, Nandpuri 22 Godam, Bais Godam, Jaipur",['Bakery'],₹200,"['Bakery', 'Chinese', 'Fast Food']",3.4,No-Votes,26.8998544,75.78387409999999
Bais Godam,Bharkhadevi Ice Cream,"S-1, Ichapurn Hanuman Mandir, Nandpuri Colony, Hawa Sadak, Bais Godam, Jaipur",['Dessert Parlor'],₹200,"['Ice Cream', 'Desserts', 'Beverages']",4.3,No-Votes,26.8942566,75.780377
Bais Godam,Firangi Rasoi,"51, Choudhary Colony, Kartarpura, Bais Godam, Jaipur",['Quick Bites'],₹300,"['Fast Food', 'Chinese']",4.1,No-Votes,26.8895562,75.787201
Bais Godam,Chicken Chaska,"85, Near Kartarpura Phatak, Near Bais Godam, Jaipur",[],₹350,['North Indian'],3.7,No-Votes,26.8675083,75.7872782
Bais Godam,The Chaap Hut,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Food Court'],₹350,['North Indian'],3.9,No-Votes,26.9026088,75.7937902
Bais Godam,Kasher Shyam Food Plaza,"A10A, Sudarshanpura, Industrial Area, Bais Godam, Jaipur",['Quick Bites'],₹200,['North Indian'],3.6,No-Votes,26.8958956,75.79019819999999
Adarsh Nagar,Mohan Dhaba,"55, Bees Dukan, Adarsh Nagar, Jaipur",['Quick Bites'],₹300,['North Indian'],4.0,882,26.9018834,75.8261565
Adarsh Nagar,Swastik Pavitra Bhojnalaya,"Frontier Colony, Sewa Sadan Marg, Near Apex Hotel, Adarsh Nagar, Jaipur",['Dhaba'],₹250,['North Indian'],3.3,1554,26.899513,75.8323951
Adarsh Nagar,Domino's Pizza,"Food Court, 4th Floor, Pink Square Mall, Adarsh Nagar, Jaipur","['Quick Bites', 'Food Court']",₹700,"['Pizza', 'Fast Food']",3.7,626,26.9032914,75.8368903
Adarsh Nagar,Jaipur Jungle,"6th Floor, UDB Tower, Baraf Khana, Adarsh Nagar, Jaipur",['Casual Dining'],"₹1,300","['North Indian', 'Chinese', 'Italian']",3.7,503,26.899844,75.834422
Adarsh Nagar,Petite Patisserie,"B-5, Govind Marg, Near Saket Colony, Adarsh Nagar, Jaipur",['Bakery'],₹300,"['Bakery', 'Desserts']",3.7,361,26.9014128,75.8360945
Adarsh Nagar,Tadka Lali Ka Vaishno Dhaba,"20, Adarsh Nagar, Jaipur",['Quick Bites'],₹350,['North Indian'],3.5,485,26.9020553,75.8258408
Adarsh Nagar,OTR 16,"4th Floor, Pink Square Mall, Adarsh Nagar, Jaipur","['Casual Dining', 'Bar']",₹900,"['North Indian', 'Chinese', 'Fast Food']",3.6,279,26.9030977,75.8365766
Adarsh Nagar,Tadka Luxury,"Behind Cox & Kings, Bees Dukan, Adarsh Nagar, Jaipur",['Casual Dining'],₹700,"['North Indian', 'South Indian', 'Fast Food', 'Chinese']",3.8,311,26.9017985,75.8258935
Adarsh Nagar,Al Umar Take Away & Restaurant,"1186, Moti Doongri Road, Adarsh Nagar, Jaipur",['Quick Bites'],₹450,"['North Indian', 'Mughlai']",3.5,296,26.9121743,75.82463969999999
