Neighborhood,Pincode,latitude,longitude
Bilanderpur,303803 ,27.32980500000008,75.68703652500005
Bilochi,303805 ,27.11880344900004,75.86183000000005
Bilod,302028 ,26.991700000000037,75.88563319000008
Bindayaka,302012 ,26.960270000000037,75.66582122300008
Birsana,303001 ,27.102760000000046,76.22492738100004
Bishangarh,303104 ,27.259955000000048,75.92746614200007
Bobadi,303120 ,27.18865535200007,76.05820000000006
Bobas,303338 ,26.879625000000033,75.29119745300005
Booj,303109 ,27.03284375900006,76.08377500000006
Boraj,303338 ,26.879625000000033,75.29119745300005
Buchara,303106 ,27.573030000000074,76.02734073000005
Burthal,303012 ,26.90840608800005,75.96652500000005
C.P.m.g,302001 ,26.930038198008976,75.80509179210249
Chainpura,303348 ,26.841635000000053,75.08067595400007
Chaksu,303901 ,26.58943000000005,75.90438374400003
Chakwada,303005 ,26.571060000000045,75.50939017400003
Chandamakalan,303006 ,26.535750000000064,75.67594170400008
Chandlai,303903 ,26.68888000000004,75.91045968200007
Chandpole Bazar,302001 ,26.930038198008976,75.80509179210249
Chandwaji,303104 ,27.259955000000048,75.92746614200007
Chanwandia,303301 ,26.833198665000054,76.04988500000007
Charanwas,303804 ,27.29353375000005,75.75790000000006
Chatarpura,303701 ,27.08825500000006,75.63969125000006
Chaturbhuj,303108 ,27.77030459200006,76.19953000000004
Cheethwari,303805 ,27.11880344900004,75.86183000000005
Chetawala,303704 ,27.11987238900008,75.76623500000005
Chhandel Kalan,303901 ,26.58943000000005,75.90438374400003
Chhapra Kalan (shahpura),303103 ,27.398385000000076,76.02488576700006
Chhapra Khurd,303103 ,27.398385000000076,76.02488576700006
Chhardera,303105 ,27.74574989900003,76.08626000000004
Chharsa,303120 ,27.18865535200007,76.05820000000006
Chhitoli,303102 ,27.450383807000037,76.18665500000003
Chimanpura,303105 ,27.74574989900003,76.08626000000004
Chinoi,303801 ,27.206260000000043,75.57590294600004
Chitanu Kalan,303104 ,27.259955000000048,75.92746614200007
Chittora,303904 ,26.67402500000003,75.68053438900006
Chittora Renwal,303904 ,26.67402500000003,75.68053438900006
Chomu,303702 ,27.188375000000065,75.75583502400008
Chonp,303805 ,27.11880344900004,75.86183000000005
Choru,303005 ,26.571060000000045,75.50939017400003
Collectorate,302016 ,26.939149388000033,75.79365000000007
Crpf Campus  lalwas,302027 ,26.97820500000006,75.97575804100006
